,Station,Date,h_cm,n_cm,h_n,U_amb_m_s,U_pk_m_s,Usq_amb_m2_s2,Usq_pk_m2_s2,f_amb,tau_a_loglin_Pa,tau_p_loglin_Pa,tau_a_z0_Pa,tau_p_z0_Pa,tau_a_z0ks_Pa,tau_p_z0ks_Pa,tau_a_uw_Pa,tau_p_uw_Pa,tau_a_hS_Pa,tau_p_hS_Pa,rho_kg_m3,Fr_amb,Erosion,f_amb_hS,tau_a_Usq_hS_Pa,tau_p_Usq_hS_Pa,tau_a_Usq_favg_Pa,tau_p_Usq_favg_Pa,tau_a_Usq_Pa,tau_p_Usq_Pa,tau_a_Usq_hS_favg_Pa,tau_p_Usq_hS_favg_Pa,tau_st_a_Usq,tau_st_p_Usq,tau_st_a_Usq_favg,tau_st_p_Usq_favg,tau_st_a_loglin,tau_st_p_loglin,tau_st_a_z0,tau_st_p_z0,tau_st_a_z0ks,tau_st_p_z0ks,tau_st_a_uw,tau_st_p_uw,tau_st_a_hS,tau_st_p_hS,tau_st_a_Usq_hS,tau_st_p_Usq_hS,tau_st_a_Usq_hS_favg,tau_st_p_Usq_hS_favg
0,Station01-DM521-11,2021-05-25 00:00:00,27.699999999999996,13.4,2.067164179104477,0.1623097462152334,0.2024428238146286,0.02634445371645347,0.04098309691404076,0.3572638135260237,1.1748,0.2954,1.1776,0.2949,0.1624,0.2986,0.5890899603902364,0.6977727349235695,7.787708942107271,4.173036489732953,998.5586447031036,0.1006670073572405,,2.368301148755012,7.78770894210727,12.115052137649355,0.47247819754647286,0.7350169401206756,1.1747942599067538,1.8275841862588018,15.398864429228913,23.955446564265383,0.005875073558305942,0.009139635674692012,0.0023628342936419006,0.003675774335288866,0.005875102264157855,0.0014772771610761237,0.00588910489127706,0.0014747766919476944,0.0008121523729138879,0.0014932801634980723,0.002946002519647037,0.0034895183646723544,0.03894585158186653,0.02086909782877376,0.038945851581866524,0.060586627719011056,0.0770087702363148,0.11979970918337424
1,Station02-DM521-5,2021-05-26 00:00:00,26.0,17.6,1.477272727272727,0.1706391540773705,0.1975409787112442,0.029117720904240585,0.03902243827019624,0.0712171123152017,0.2589,0.1275,0.2597,0.1275,0.2513,0.1278,0.5350702171636882,1.556018892432859,9.082045027348867,3.027348342449626,998.6996765237316,0.09800877162590242,,2.498511481693777,9.082045027348867,12.171403888799897,0.5222894914363402,0.6999520843603719,0.2588729431517162,0.3469314606450079,17.02229883453626,22.812623545367725,0.001294732123130275,0.0017351496883100223,0.0026121887204708484,0.003500753834062313,0.0012948674457723295,0.0006376809553339976,0.0012988685811783464,0.0006376809553339976,0.0012568566594151657,0.000639181381111254,0.002676110488248708,0.007782302853681055,0.04542311489746046,0.015141038299153503,0.04542311489746046,0.06087429380051649,0.0851356531983363,0.11409549471439168
2,Station03-DM522-2,2021-05-26 00:00:00,,,,0.1561284766454901,0.173063878390657,0.024376101219641344,0.02995110600361612,0.0948469970307259,0.2883,0.2522,0.2895,0.2518,0.1851,0.1517,0.2449908777342677,0.0093871716312253,10.68705245200054,6.136247149637672,997.6226370639718,0.08262223270835539,,3.515745164815202,10.687052452000538,13.131264838946354,0.4367667200759918,0.536658681139175,0.2883129421114874,0.35425236437882873,14.234966913976246,17.4906150559849,0.0014409155072817215,0.001770464140757458,0.002182850119085917,0.002682084994546569,0.0014408508258664419,0.001260432113366343,0.001446848123788883,0.0012584330140588628,0.0009250832045365188,0.0007581584123619121,0.0012244027350439269,4.6914720767953546e-05,0.053411197889500384,0.030667418568421922,0.05341119788950038,0.06562675611469589,0.07114278124933802,0.08741369111456077
3,Station04-DM521-1,2021-05-27 00:00:00,16.216666666666665,9.2,1.7626811594202898,0.1073709260488418,0.1752368477659551,0.011528515760585854,0.030707952814948525,0.0369796085509567,0.0532,0.023,0.0528,,0.0545,0.7684,0.05277101319981,0.0308500209557288,6.197179892564167,2.0559364572487766,997.9789608508211,0.07462957483916255,,4.309127127174562,6.197179892564167,16.507129944448064,0.2066397096689176,0.5504162535737663,0.053182298823740225,0.14165913087036588,6.734738007829246,17.938997635108517,0.00026585629985533395,0.0007081486360477968,0.0010329840911509382,0.0027515100285592634,0.000265944787365795,0.00011497612987618959,0.00026394520249838305,,0.00027244343818488403,0.003841202530298438,0.00026380029858084653,0.00015421808765604545,0.03097946783450297,0.010277548570688194,0.03097946783450297,0.0825185181033043,0.03366670051609938,0.0896763705192563
4,Station05-DM522-1,2021-06-01 00:00:00,17.95,7.0,2.564285714285714,0.1368354490730166,0.1916385608661973,0.018723940123014118,0.036725338010867206,0.0453280663377477,0.106,0.0302,0.1059,0.0337,0.1098,0.6149,2.581485559874713,0.1416655694472563,7.793217913028766,3.234920643144016,999.2650181151008,0.08486745546566477,,3.3321832685906076,7.793217913028766,15.285701629463107,0.33604460492773625,0.6591215108368321,0.10601202577183101,0.2079331302123671,10.952262644768954,21.48188602240549,0.0005304150922000037,0.0010403618799852612,0.0016813482131705566,0.003297814511100685,0.0005303549230745853,0.0001511011195929479,0.000529854588241496,0.00016861283875107102,0.0005493676467319762,0.0030765588886656845,0.012916071467221759,0.0007088021904388391,0.03899218383743256,0.016185434800443706,0.03899218383743256,0.07647968973429217,0.05479798502319899,0.10748135857462146
5,Station06-MM526-1,2021-06-02 00:00:00,17.0,12.5,1.36,0.1162778992414987,0.1594330566317318,0.013520549852016124,0.025418899546936997,0.1750461353941965,0.2954,9.2779,0.2947,9.2751,0.1574,0.2599,0.2344031812289205,-0.6269566994564688,6.111495365509736,1.263434138062109,998.3754419727607,0.08140123720736518,,3.6220065408580693,6.111495365509737,11.4897314441911,0.242441656755986,0.4557950813039196,0.29535939075322126,0.5552814616249595,7.901584081064121,14.855133424051951,0.0014768895687131715,0.0027765814260461664,0.0012122843054738724,0.002279118328798859,0.0014770926276807834,0.046392409242923295,0.0014735924081839095,0.04637840836493579,0.00078704935543993,0.0012995814960536074,0.0011720894072381892,-0.0031349800901903408,0.030559393190588036,0.006317566861515796,0.03055939319058804,0.05745226002114677,0.039510398081041474,0.07428032519932813
6,Station07-MM524-9,2021-06-02 00:00:00,15.8,6.3,2.507936507936508,0.1294161510014742,0.2399164013838785,0.016748540140036367,0.0575598796529903,0.2046697784606171,0.428,4.181,0.4291,4.1775,0.1598,0.4997,0.1793084461411337,0.6685476193611629,4.438553523763269,2.73367866033102,998.7901528069228,0.10633237197762278,,2.1226590319365477,4.438553523763269,15.254022411807354,0.3004486175413877,1.0325548449592834,0.4279715925762379,1.4708143609902324,9.79212914689891,33.65271065593995,0.002140597447752448,0.007356613200191521,0.0015027622277880009,0.0051645583588367065,0.0021407395339559654,0.02091222427913526,0.0021462414346273473,0.0208947182315445,0.0007992761157153347,0.00249936342317242,0.0008968520547349038,0.00334389326892193,0.02220043692032614,0.013673116778743914,0.02220043692032614,0.076296469226183,0.04897756538871261,0.16832170122885942
7,Station08-MM524-7,2021-06-02 00:00:00,12.0,8.8,1.3636363636363635,0.0964027486144011,0.2846141694630872,0.009293489940411412,0.08100522545916292,0.0878120066016742,0.1018,,0.1014,1.4827,0.1132,1.4296,0.1378360602084988,,5.259411877049245,0.7933191099459724,998.3754419727607,0.07274922940247067,,4.534761458851308,5.259411877049245,45.842826281050776,0.16664478315299106,1.452532721018232,0.10184427883564126,0.887709441953919,5.43123563571154,47.34050071755679,0.0005092533291793898,0.004438825566123074,0.0008332761700634594,0.007263119071364721,0.0005090319211168034,,0.0005070317956900184,0.007413964925735604,0.0005660354957801783,0.007148448275329885,0.000689223521877245,,0.02629870856305413,0.003966844308393625,0.02629870856305413,0.2292285062010527,0.02715788123461973,0.23671734800480695
8,Station09-DM613-1,2021-06-16 00:00:00,30.999999999999996,13.5,2.296296296296296,0.2202694662642672,0.2672009339895948,0.04851863776834514,0.0713963391249118,0.0918344002416944,0.5561,0.2785,0.5539,0.277,0.5909,0.2634,0.9336157327772658,-0.0114178539489095,8.815384124400412,5.142307405900238,998.457823581426,0.12839826887329348,,1.4557704677785124,8.81538412440041,12.97204916319155,0.8700762675726179,1.2803380952439076,0.5561010694219108,0.8183160609277563,28.357258720117773,41.72838631416188,0.0027808359240653374,0.004092066756557623,0.004350898558885758,0.0064024515793591865,0.0027808305763200604,0.0013926655556646948,0.0027698292685194767,0.0013851646639824792,0.0029548512633474616,0.001317156579397058,0.004668633656249738,-5.7096057142751804e-05,0.04408216096950028,0.02571459389887515,0.04408216096950027,0.06486795711298347,0.14180315070944463,0.20866673721078383
9,Station10-MM524-10,2021-06-17 00:00:00,22.449999999999996,17.0,1.3205882352941174,0.0351270174458123,0.0687088644200711,0.0012339073546384018,0.004720908049895712,0.0936212913925397,0.0144,4.3792,0.0146,9.7039,0.0084,0.069,-0.0194126334917424,,10.263576887887757,1.2939753096477402,999.2704643126526,0.018984276877052297,,66.59216325368253,10.263576887887757,39.26826642908877,0.02214545478665883,0.08472812434250929,0.014429465504674659,0.055206883726431635,0.721757866826936,2.761433028800909,7.219591040515569e-05,0.00027622029589176886,0.0001108018359474983,0.0004239258946803666,7.204848367373275e-05,0.021910744423889614,7.304915705809015e-05,0.04855217227232884,4.202828214301077e-05,0.00034523231760330277,-9.712852827735832e-05,,0.05135244110007513,0.006474233261900589,0.05135244110007513,0.19647354532722153,0.0036112194364214356,0.013816462673032546
